Pays,Région,Localité,Latitude,Longitude,,,,,,
CAMEROUN,Ouest,Koutaba,5°37.421,10°43.910,,,,,,
CAMEROUN,Ouest,Koutaba,5°37.435,10°43.908,,,,,,
CAMEROUN,Ouest,Koutaba,5°37.450,10°43.913,,,,,,
CAMEROUN,Ouest,Koutaba,5°38.711,10°43.661,,,,,,
CAMEROUN,Ouest,Koutaba,5°38.705,10°43.647,,,,,,
CAMEROUN,Ouest,Koutaba,5°38.743,10°43.614,,,,,,
CAMEROUN,Ouest,Koutaba,5°38.770,10°43.552,,,,,,
CAMEROUN,Ouest,Koutaba,5°38.701,10°43.354,,,,,,
CAMEROUN,Ouest,Koutaba,5°38.658,10°43.405,,,,,,
CAMEROUN,Ouest,Koutaba,5°38.649,10°43.398,,,,,,
CAMEROUN,Ouest,Koutaba,5°38.622,10°43.386,,,,,,
CAMEROUN,Ouest,Koutaba,5°38.628,10°43.372,,,,,,
CAMEROUN,Ouest,Koutaba,5°38.608,10°43.370,,,,,,
CAMEROUN,Ouest,Mbouda,5°39.406,10°19.702,,,,,,
CAMEROUN,Ouest,Mbouda,5°39.393,10°19.740,,,,,,
CAMEROUN,Ouest,Mbouda,5°39.402,10°19.741,,,,,,
CAMEROUN,Ouest,Mbouda,5°39.402,10°19.776,,,,,,
CAMEROUN,Ouest,Mbouda,5°39.422,10°19.795,,,,,,
CAMEROUN,Ouest,Mbouda,5°39.468,10°19.833,,,,,,
CAMEROUN,Ouest,Mbouda,5°39.469,10°19.836,,,,,,
CAMEROUN,Ouest,Mbouda,5°39.476,10°19.844,,,,,,
CAMEROUN,Ouest,Mbouda,5°39.501,10°19.860,,,,,,
CAMEROUN,Ouest,Mbouda,5°39.472,10°19.775,,,,,,
CAMEROUN,Ouest,Mbouda,5°39.467,10°19.774,,,,,,
CAMEROUN,Ouest,Mbouda,5°39.458,10°19.752,,,,,,
CAMEROUN,Ouest,Mbouda,5°39.368,10°19.680,,,,,,
CAMEROUN,Ouest,Mbouda,5°39.354,10°19.685,,,,,,
CAMEROUN,Ouest,Mbouda,5°39.369,10°19.700,,,,,,
CAMEROUN,Ouest,Mbouda,5°39.368,10°19.708,,,,,,
CAMEROUN,Ouest,Mbouda,5°39.354,10°19.732,,,,,,
CAMEROUN,Ouest,Mbouda,5°39.332,10°19.695,,,,,,
CAMEROUN,Ouest,Tonga,4°57.752,10°44.573,,,,,,
CAMEROUN,Ouest,Tonga,4°57.755,10°44.573,,,,,,
CAMEROUN,Ouest,Tonga,5°57.758,10°44.549,,,,,,
CAMEROUN,Ouest,Tonga,4°57.781,10°44.531,,,,,,
CAMEROUN,Ouest,Tonga,4°57.785,10°44.513,,,,,,
CAMEROUN,Ouest,Tonga,4°57.805,10°44.526,,,,,,
CAMEROUN,Ouest,Tonga,4°57.825,10°44.491,,,,,,
CAMEROUN,Ouest,Tonga,4°57.840,10°44.889,,,,,,
CAMEROUN,Ouest,Tonga,4°57.852,10°44.463,,,,,,
CAMEROUN,Ouest,Tonga,4°57.843,10°44.447,,,,,,
CAMEROUN,Ouest,Tonga,4°58.046,10°44.377,,,,,,
CAMEROUN,Ouest,Tonga,"4°58.,49",10°44.374,,,,,,
CAMEROUN,Ouest,Tonga,4°58.073,10°44.387,,,,,,
CAMEROUN,Ouest,Tonga,4°58.080,10°44.389,,,,,,
CAMEROUN,Ouest,Tonga,4°58.079,10°44.371,,,,,,
CAMEROUN,Ouest,Tonga,4°58.105,10°44.376,,,,,,
CAMEROUN,Ouest,Tonga,4°58.115,10°44.354,,,,,,
CAMEROUN,Ouest,Tonga,4°58.101,10°44.325,,,,,,
CAMEROUN,Ouest,Tonga,4°58.121,10°44.283,,,,,,
CAMEROUN,Ouest,Tonga,4°58.146,10°44.283,,,,,,
CAMEROUN,Ouest,Tonga,4°58.158,10°44.298,,,,,,
CAMEROUN,Ouest,Tonga,4°58.158,10°44.298,,,,,,
CAMEROUN,Ouest,Tonga,4°58.202,10°44.298,,,,,,
CAMEROUN,Ouest,Tonga,4°58.219,10°44.274,,,,,,
CAMEROUN,Ouest,Tonga,4°58.215,10°44.254,,,,,,
CAMEROUN,Ouest,Tonga,4°58.209,10°44.254,,,,,,
CAMEROUN,Ouest,Tonga,4°58.292,10°44.338,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.002,10°27.953,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.098,10°27.936,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.067,10°27.939,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.075,10°27.917,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.077,10°27.891,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.066,10°27.859,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.084,10°27.855,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.100,10°27.862,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.108,10°27.855,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.084,10°27.806,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.108,10°27.798,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.110,10°27.790,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.144,10°27.756,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.217,10°27.778,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.127,10°27.725,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.166,10°27.599,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.193,10°27.828,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.177,10°27.826,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.124,10°27.912,,,,,,
CAMEROUN,Ouest,Bangoua,5°13.120,10°27.928,,,,,,
MALI,Ségou,Solosso,13°14.103,5°03.200,,,,,,
MALI,Ségou,Solosso,13°14.106,5°03.167,,,,,,
MALI,Ségou,Solosso,13°14.139,5°03.163,,,,,,
MALI,Ségou,Solosso,13°14.135,5°03.196,,,,,,
MALI,Ségou,Solosso,13°14.102,5°03.801,,,,,,
MALI,Ségou,Solosso,13°14.150,5°03.151,,,,,,
MALI,Ségou,Solosso,13°14.181,5°03.161,,,,,,
MALI,Ségou,Solosso,13°14.175,5°03.194,,,,,,
MALI,Ségou,Solosso,13°14.143,5°03.189,,,,,,
MALI,Ségou,Solosso,13°14.149,5°03.152,,,,,,
MALI,Ségou,Solosso,13°14.187,5°03.163,,,,,,
MALI,Ségou,Solosso,13°14.219,5°03.170,,,,,,
MALI,Ségou,Solosso,13°14.217,5°03.203,,,,,,
MALI,Ségou,Solosso,13°14.84,5°03.98,,,,,,
MALI,Ségou,Solosso,13°14.82,5°03.164,,,,,,
MALI,Ségou,Solosso,12°19.025,5°21.416,,,,,,
MALI,Ségou,Solosso,12°19.022,5°21.384,,,,,,
MALI,Ségou,Solosso,12°19.055,5°21.383,,,,,,
MALI,Ségou,Solosso,12°19.056,5°21.416,,,,,,
MALI,Ségou,Solosso,12°19.025,5°21.416,,,,,,
MALI,Ségou,Solosso,12°19.055,5°21.380,,,,,,
MALI,Ségou,Solosso,12°19.022,5°21.383,,,,,,
MALI,Ségou,Solosso,12°19.085,5°21.362,,,,,,
MALI,Ségou,Solosso,12°19.054,5°21.352,,,,,,
MALI,Ségou,Solosso,12°19.089,5°21.397,,,,,,
MALI,Ségou,Solosso,12°19.085,5°21.362,,,,,,
MALI,Ségou,Solosso,12°19.087,5°21.429,,,,,,
MALI,Ségou,Solosso,12°19.089,5°21.392,,,,,,
MALI,Ségou,Solosso,12°19.057,5°21.391,,,,,,
